Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15343025,4,"Wednesday, May 15, 2013 16:25:25 UTC",33.9820,-116.7637,1.4,17.90,59,"Southern California"
ci,15343017,6,"Wednesday, May 15, 2013 16:20:05 UTC",33.9795,-116.7670,3.1,17.90,100,"Southern California"
us,2013qfa2,5,"Wednesday, May 15, 2013 16:09:03 UTC",26.8347,57.7571,4.5,10.00,42,"southern Iran"
ak,10717474,1,"Wednesday, May 15, 2013 15:56:05 UTC",61.1685,-151.6766,1.8,123.10, 8,"Southern Alaska"
nn,00411882,1,"Wednesday, May 15, 2013 15:31:49 UTC",37.1674,-117.3741,2.0,11.90,16,"Nevada"
ak,10717465,1,"Wednesday, May 15, 2013 15:16:56 UTC",58.5878,-152.5119,3.0,8.20,26,"Kodiak Island region, Alaska"
nn,00411878,1,"Wednesday, May 15, 2013 15:04:33 UTC",39.5196,-119.6364,1.5,4.00,23,"Nevada"
ci,15342977,3,"Wednesday, May 15, 2013 15:03:11 UTC",35.4867,-118.2957,1.4,4.70,23,"Central California"
nc,71991921,0,"Wednesday, May 15, 2013 14:52:22 UTC",37.5165,-118.7040,1.1,1.30, 6,"Central California"
nc,71991916,1,"Wednesday, May 15, 2013 14:44:52 UTC",38.8163,-122.8423,1.8,1.40,28,"Northern California"
nc,71991911,1,"Wednesday, May 15, 2013 14:44:33 UTC",38.8178,-122.8427,1.8,1.10,30,"Northern California"
nn,00411875,1,"Wednesday, May 15, 2013 14:35:23 UTC",38.5042,-118.1969,1.2,8.10, 9,"Nevada"
us,2013qfaz,5,"Wednesday, May 15, 2013 14:24:00 UTC",-10.8804,113.8424,4.6,10.00,37,"south of Java, Indonesia"
ak,10717444,1,"Wednesday, May 15, 2013 14:17:27 UTC",61.3413,-147.0848,1.7,250.00, 7,"Southern Alaska"
nc,71991906,0,"Wednesday, May 15, 2013 14:16:55 UTC",37.6053,-122.4605,1.6,8.00,13,"San Francisco Bay area, California"
